Song,Album,Year,Track Number,Song Length,Word Count,Genre,Single,Label
Tim McGraw,Taylor Swift,2006,1,234,368,Country,Yes,Big Machine
Picture to Burn,Taylor Swift,2006,2,175,291,Country,Yes,Big Machine
Teardrops on My Guitar,Taylor Swift,2006,3,215,288,Country,Yes,Big Machine
A Place in This World,Taylor Swift,2006,4,202,233,Country,No,Big Machine
Cold as You,Taylor Swift,2006,5,241,245,Country,No,Big Machine
The Outside,Taylor Swift,2006,6,209,237,Country,No,Big Machine
Tied Together with a Smile,Taylor Swift,2006,7,251,246,Country,No,Big Machine
Stay Beautiful,Taylor Swift,2006,8,208,267,Country,No,Big Machine
Should've Said No,Taylor Swift,2006,9,244,350,Country,Yes,Big Machine
Mary's Song,Taylor Swift,2006,10,215,331,Country,No,Big Machine
Our Song,Taylor Swift,2006,11,204,370,Country,Yes,Big Machine
Fearless,Fearless,2008,1,241,318,Country Pop,Yes,Big Machine
Fifteen,Fearless,2008,2,294,380,Country Pop,Yes,Big Machine
Love Story,Fearless,2008,3,235,377,Country Pop,Yes,Big Machine
Hey Stephen,Fearless,2008,4,254,416,Country Pop,No,Big Machine
White Horse,Fearless,2008,5,234,303,Country Pop,Yes,Big Machine
You Belong with Me,Fearless,2008,6,231,396,Country Pop,Yes,Big Machine
Breathe,Fearless,2008,7,263,299,Country Pop,No,Big Machine
Tell Me Why,Fearless,2008,8,200,348,Country Pop,No,Big Machine
You're Not Sorry,Fearless,2008,9,261,280,Country Pop,No,Big Machine
The Way I Loved You,Fearless,2008,10,243,342,Country Pop,No,Big Machine
Forever & Always,Fearless,2008,11,225,405,Country Pop,No,Big Machine
The Best Day,Fearless,2008,12,245,350,Country Pop,No,Big Machine
Change,Fearless,2008,13,280,267,Country Pop,No,Big Machine
Mine,Speak Now,2010,1,230,377,Country Pop,Yes,Big Machine
Sparks Fly,Speak Now,2010,2,260,344,Country Pop,Yes,Big Machine
Back to December,Speak Now,2010,3,293,424,Country Pop,Yes,Big Machine
Speak Now,Speak Now,2010,4,240,407,Country Pop,No,Big Machine
Dear John,Speak Now,2010,5,403,375,Country Pop,No,Big Machine
Mean,Speak Now,2010,6,237,405,Country Pop,Yes,Big Machine
The Story of Us,Speak Now,2010,7,265,449,Country Pop,Yes,Big Machine
Never Grow Up,Speak Now,2010,8,290,439,Country Pop,No,Big Machine
Enchanted,Speak Now,2010,9,353,371,Country Pop,No,Big Machine
Better Than Revenge,Speak Now,2010,10,217,501,Country Pop,No,Big Machine
Innocent,Speak Now,2010,11,302,320,Country Pop,No,Big Machine
Haunted,Speak Now,2010,12,242,320,Country Pop,No,Big Machine
Last Kiss,Speak Now,2010,13,367,401,Country Pop,No,Big Machine
Long Live,Speak Now,2010,14,317,401,Country Pop,No,Big Machine
State of Grace,Red,2012,1,295,266,Country Pop,No,Big Machine
Red,Red,2012,2,223,290,Country Pop,Yes,Big Machine
Treacherous,Red,2012,3,242,273,Country Pop,No,Big Machine
I Knew You Were Trouble,Red,2012,4,219,285,Country Pop,Yes,Big Machine
All Too Well,Red,2012,5,329,462,Country Pop,No,Big Machine
22,Red,2012,6,232,380,Country Pop,Yes,Big Machine
I Almost Do,Red,2012,7,244,277,Country Pop,No,Big Machine
We Are Never Ever Getting Back Together,Red,2012,8,193,383,Country Pop,Yes,Big Machine
Stay Stay Stay,Red,2012,9,205,330,Country Pop,No,Big Machine
The Last Time,Red,2012,10,299,436,Country Pop,Yes,Big Machine
Holy Ground,Red,2012,11,202,281,Country Pop,No,Big Machine
Sad Beautiful Tragic,Red,2012,12,284,185,Country Pop,No,Big Machine
The Lucky One,Red,2012,13,240,334,Country Pop,No,Big Machine
Everything Has Changed,Red,2012,14,245,439,Country Pop,Yes,Big Machine
Starlight,Red,2012,15,220,331,Country Pop,Yes,Big Machine
Begin Again,Red,2012,16,237,336,Country Pop,Yes,Big Machine
Welcome to New York,1989,2014,1,212,347,Synth-pop,No,Big Machine
Blank Space,1989,2014,2,231,510,Synth-pop,Yes,Big Machine
Style,1989,2014,3,231,386,Synth-pop,Yes,Big Machine
Out of the Woods,1989,2014,4,235,646,Synth-pop,Yes,Big Machine
All You Had to Do Was Stay,1989,2014,5,193,451,Synth-pop,No,Big Machine
Shake It Off,1989,2014,6,219,564,Synth-pop,Yes,Big Machine
I Wish You Would,1989,2014,7,207,718,Synth-pop,No,Big Machine
Bad Blood,1989,2014,8,211,488,Synth-pop,Yes,Big Machine
Wildest Dreams,1989,2014,9,220,340,Synth-pop,Yes,Big Machine
How You Get the Girl,1989,2014,10,247,413,Synth-pop,No,Big Machine
This Love,1989,2014,11,250,321,Synth-pop,No,Big Machine
I Know Places,1989,2014,12,195,323,Synth-pop,No,Big Machine
Clean,1989,2014,13,270,332,Synth-pop,No,Big Machine
…Ready for It?,Reputation,2017,1,208,441,Electropop,Yes,Big Machine
End Game,Reputation,2017,2,244,639,Electropop,Yes,Big Machine
I Did Something Bad,Reputation,2017,3,238,432,Electropop,No,Big Machine
Don't Blame Me,Reputation,2017,4,236,473,Electropop,No,Big Machine
Delicate,Reputation,2017,5,232,490,Electropop,Yes,Big Machine
Look What You Made Me Do,Reputation,2017,6,211,521,Electropop,Yes,Big Machine
So It Goes…,Reputation,2017,7,227,377,Electropop,No,Big Machine
Gorgeous,Reputation,2017,8,209,437,Electropop,No,Big Machine
Getaway Car,Reputation,2017,9,233,549,Electropop,Yes,Big Machine
King of My Heart,Reputation,2017,10,214,468,Electropop,No,Big Machine
Dancing with Our Hands Tied,Reputation,2017,11,211,415,Electropop,No,Big Machine
Dress,Reputation,2017,12,230,503,Electropop,No,Big Machine
This Is Why We Can't Have Nice Things,Reputation,2017,13,207,401,Electropop,No,Big Machine
Call It What You Want,Reputation,2017,14,203,433,Electropop,No,Big Machine
New Year's Day,Reputation,2017,15,235,372,Electropop,Yes,Big Machine
I Forgot That You Existed,Lover,2019,1,171,293,Pop,No,Republic
Cruel Summer,Lover,2019,2,178,415,Pop,No,Republic
Lover,Lover,2019,3,221,261,Pop,Yes,Republic
The Man,Lover,2019,4,190,421,Pop,Yes,Republic
The Archer,Lover,2019,5,211,285,Pop,No,Republic
I Think He Knows,Lover,2019,6,173,373,Pop,No,Republic
Miss Americana & the Heartbreak Prince,Lover,2019,7,234,508,Pop,No,Republic
Paper Rings,Lover,2019,8,222,486,Pop,No,Republic
Cornelia Street,Lover,2019,9,287,383,Pop,No,Republic
Death by a Thousand Cuts,Lover,2019,10,199,394,Pop,No,Republic
London Boy,Lover,2019,11,190,433,Pop,No,Republic
Soon You'll Get Better,Lover,2019,12,202,233,Pop,No,Republic
False God,Lover,2019,13,200,321,Pop,No,Republic
You Need to Calm Down,Lover,2019,14,171,343,Pop,Yes,Republic
Afterglow,Lover,2019,15,223,379,Pop,No,Republic
Me!,Lover,2019,16,193,471,Pop,Yes,Republic
It's Nice to Have a Friend,Lover,2019,17,150,153,Pop,No,Republic
Daylight,Lover,2019,18,293,454,Pop,No,Republic
The 1,Folklore,2020,1,210,307,Indie folk,Yes,Republic
Cardigan,Folklore,2020,2,239,336,Indie folk,Yes,Republic
The Last Great American Dynasty,Folklore,2020,3,231,329,Indie folk,No,Republic
Exile,Folklore,2020,4,285,449,Indie folk,Yes,Republic
My Tears Ricochet,Folklore,2020,5,255,310,Indie folk,No,Republic
Mirrorball,Folklore,2020,6,209,256,Indie folk,No,Republic
Seven,Folklore,2020,7,208,218,Indie folk,No,Republic
August,Folklore,2020,8,261,354,Indie folk,No,Republic
This Is Me Trying,Folklore,2020,9,195,260,Indie folk,No,Republic
Illicit Affairs,Folklore,2020,10,190,239,Indie folk,No,Republic
Invisible String,Folklore,2020,11,252,298,Indie folk,No,Republic
Mad Woman,Folklore,2020,12,237,314,Indie folk,No,Republic
